id,Dénomination,Bureau,Année,Type,Styles,Saison,Météo,Journée,Lumière,Composition,Affectations,Pays,Nom de fichier (avec extension)
855,Neff Neumann_Strickler Areal_Horgen,Nightnurse,2015,Extérieur,Illustration,Été,Dégagé,,Diffuse,,Logement,Suisse,Nightnurse_NeffNeumann_StricklerAreal_Horgen_2015.jpg
856,Neff Neumann_Studienauftrag_Lavaterstrasse_Zurich,Nightnurse,2017,Extérieur,Illustration,Automne,Dégagé,,Diffuse,Central,Logement,Suisse,Nightnurse_NeffNeumann_Studienauftrag_Lavaterstrasse_Zurich_2017.jpg
857,Neff Neumann_Wohnprojekt Nadelband_Dietikon,Nightnurse,2018,Extérieur,Illustration,Été,Dégagé,Milieu journée,Direct,Central,Logement,Suisse,Nightnurse_NeffNeumann_WohnprojektNadelband_Dietikon_2018_01.jpg
858,Neff Neumann_Wohnprojekt Nadelband_Dietikon,Nightnurse,2018,Intérieur,Réaliste,,,,Diffuse,,Logement,Suisse,Nightnurse_NeffNeumann_WohnprojektNadelband_Dietikon_2018_02.jpg
859,Neff Neumann_Wohnueberbauung_Freisenberg,Nightnurse,2012,Extérieur,Illustration,Hiver,Dégagé,Matin,Direct,,Logement,Suisse,Nightnurse_NeffNeumann_Wohnueberbauung_Freisenberg_Zurich_2012.jpg
860,Neff Neumann_Wohnueberbauung Rappentoeri_Koeniz,Nightnurse,2012,Extérieur,Illustration,Été,Dégagé,,Direct,,Logement,Suisse,Nightnurse_NeffNeumann_WohnueberbauungRappentoeri_Koeniz_2012_01.jpg
861,Neff Neumann_Wohnueberbauung Rappentoeri_Koeniz,Nightnurse,2012,Extérieur,Illustration,Printemps,Dégagé,Matin,Diffuse,,Logement,Suisse,Nightnurse_NeffNeumann_WohnueberbauungRappentoeri_Koeniz_2012_02.jpg
862,Neff Neumann_WohnungsbauBGZ_Ruemlang,Nightnurse,2014,Extérieur,Illustration,Printemps,Dégagé,Matin,Diffuse,,Logement,Suisse,Nightnurse_NeffNeumann_WohnungsbauBGZ_Ruemlang_2014_01.jpg
863,Neff Neumann_WohnungsbauBGZ_Ruemlang,Nightnurse,2014,Extérieur,Illustration,,Dégagé,,Direct,Frontal,Logement,Suisse,Nightnurse_NeffNeumann_WohnungsbauBGZ_Ruemlang_2014_02.jpg
864,Niedermann Sigg Schwendener_Neubau Toedi_Horgen,Nightnurse,2018,Extérieur,Illustration,Printemps,Dégagé,Matin,Diffuse,,Logement,Suisse,Nightnurse_NiedermannSiggSchwendener_NeubauToedi_Horgen_2018_01.jpg
865,Niedermann Sigg Schwendener_Neubau Toedi_Horgen,Nightnurse,2018,Extérieur,Illustration,Printemps,Dégagé,Matin,Diffuse,,Logement,Suisse,Nightnurse_NiedermannSiggSchwendener_NeubauToedi_Horgen_2018_02.jpg
866,OchsSchmidhuber_BVK_Buro_RichardStrauss_Munchen,Nightnurse,2019,Extérieur,Illustration,,Dégagé,Soir,Diffuse,Vertical,Commercial,,Nightnurse_OchsSchmidhuber_BVK_Buro_RichardStrauss_Munchen_2019_01.jpg
867,OchsSchmidhuber_BVK_Buro_RichardStrauss_Munchen,Nightnurse,2019,Extérieur,Illustration,Été,Dégagé,Milieu journée,Direct,,Commercial,,Nightnurse_OchsSchmidhuber_BVK_Buro_RichardStrauss_Munchen_2019_02.jpg
868,OchsSchmidhuber_BVK_Buro_RichardStrauss_Munchen,Nightnurse,2019,Intérieur,Illustration,,,,Diffuse,,Commercial,,Nightnurse_OchsSchmidhuber_BVK_Buro_RichardStrauss_Munchen_2019_03.jpg
869,Oliv Brunner_Alterssiedlung OMA_Lenzburg,Nightnurse,2017,Extérieur,Illustration,Été,Dégagé,Matin,Direct,,EMS,Suisse,Nightnurse_OlivBrunner_AlterssiedlungOMA_Lenzburg_2017_01.jpg
870,Oliv Brunner_Alterssiedlung OMA_Lenzburg,Nightnurse,2017,Intérieur,Illustration,,,,Direct,,EMS,Suisse,Nightnurse_OlivBrunner_AlterssiedlungOMA_Lenzburg_2017_02.jpg
871,Penzel_ETH_Empa Areal_Dubendorf,Nightnurse,2015,Intérieur,Illustration,,,,Diffuse,,École,Suisse,Nightnurse_Penzel_ETH_EmpaAreal_Dubendorf_2015_02.jpg
872,Penzel_ETH_Empa Areal_Dubendorf,Nightnurse,2015,Intérieur,Illustration,,,,Diffuse,Central,École,Suisse,Nightnurse_Penzel_ETH_EmpaAreal_Dubendorf_2015_02.jpg
873,Penzel_ETH_Empa Areal_Dubendorf,Nightnurse,2015,Extérieur,Illustration,,Dégagé,,Direct,,École,Suisse,Nightnurse_Penzel_ETH_EmpaAreal_Dubendorf_2015_03.jpg
874,Penzel_ETH_Empa Areal_Dubendorf,Nightnurse,2015,Extérieur,Illustration,,Dégagé,,Direct,,École,Suisse,Nightnurse_Penzel_ETH_EmpaAreal_Dubendorf_2015_04.jpg
875,Penzel_KEBAG_Kehrrichtverbrennungsanlage_Zuchwil,Nightnurse,2017,Extérieur,Réaliste,Automne,Nuageux,,Diffuse,Central,Public,Suisse,Nightnurse_Penzel_KEBAG_Kehrrichtverbrennungsanlage_Zuchwil_2017_01.jpg
876,Penzel_KEBAG_Kehrrichtverbrennungsanlage_Zuchwil,Nightnurse,2017,Extérieur,Réaliste,Automne,Nuageux,,Diffuse,Central,Public,Suisse,Nightnurse_Penzel_KEBAG_Kehrrichtverbrennungsanlage_Zuchwil_2017_02.jpg
877,Penzel_Schule_Schlieren,Nightnurse,2012,Extérieur,Illustration,,Dégagé,,Direct,,École,Suisse,Nightnurse_Penzel_Schule_Schlieren_2012_01.jpg
878,Penzel_Schule_Schlieren,Nightnurse,2012,Intérieur,Illustration,,,,Direct,,École,Suisse,Nightnurse_Penzel_Schule_Schlieren_2012_02.jpg
879,Penzis Bettini_Kiff Centre Evenements_Arau,Nightnurse,2019,Extérieur,Illustration,,,,Spot,,Culture,Suisse,Nightnurse_PenzisBettini_KiffCentreEvenements_Arau_2019_01.jpg
880,Penzis Bettini_Kiff Centre Evenements_Arau,Nightnurse,2019,Intérieur,Illustration,,,,Direct,,Culture,Suisse,Nightnurse_PenzisBettini_KiffCentreEvenements_Arau_2019_02.jpg
881,Penzis Bettini_Kiff Centre Evenements_Arau,Nightnurse,2019,Intérieur,Illustration,,,,Direct,,Culture,Suisse,Nightnurse_PenzisBettini_KiffCentreEvenements_Arau_2019_03.jpg
882,Personeni Raffaele_Raiffeisen_Assens,Nightnurse,2019,Extérieur,Illustration,Été,Dégagé,,Diffuse,Frontal,Commercial,Suisse,Nightnurse_PersoneniRafaele_Raiffeisen_Assens_2019_01.jpg
883,Personeni Raffaele_Raiffeisen_Assens,Nightnurse,2019,Intérieur,Réaliste,,,,Direct,,Commercial,Suisse,Nightnurse_PersoneniRafaele_Raiffeisen_Assens_2019_02.jpg
884,Personeni Raffaele_Burogebaeude_UIT_Geneve,Nightnurse,2017,Extérieur,Illustration,,,Soir,Artificielle,Frontal,Commercial,Suisse,Nightnurse_PersoneniRaffaele_Burogebaeude_UIT_Geneve_2017_01.jpg
885,Personeni Raffaele_Burogebaeude_UIT_Geneve,Nightnurse,2017,Intérieur,Illustration,,,,Diffuse,,Commercial,Suisse,Nightnurse_PersoneniRaffaele_Burogebaeude_UIT_Geneve_2017_02.jpg
886,Personeni Raffaele_Ilot Nord_Chene Bougerie,Nightnurse,2019,Extérieur,Réaliste,,Nuageux,Matin,Spot,,Logement,Suisse,Nightnurse_PersoneniRaffaele_IlotNord_CheneBougerie_2019_01.jpg
887,Personeni Raffaele_Ilot Nord_Chene Bougerie,Nightnurse,2019,Intérieur,Réaliste,,Nuageux,Nuit,Artificielle,,Logement,Suisse,Nightnurse_PersoneniRaffaele_IlotNord_CheneBougerie_2019_02.jpg
888,Personeni Raffaele_Ilot Nord_Chene Bougerie,Nightnurse,2019,Extérieur,Réaliste,,Dégagé,Matin,Diffuse,,Logement,Suisse,Nightnurse_PersoneniRaffaele_IlotNord_CheneBougerie_2019_03.jpg
889,Personeni Raffaele_Passerelle_Sion,Nightnurse,2018,Extérieur,Réaliste,Hiver,Dégagé,Soir,Spot,,Urbanisme,Suisse,Nightnurse_PersoneniRaffaele_Passerelle_Sion_2018.jpg
890,Personeni Raffaele_School Ruetti_Gstaad,Nightnurse,2019,Extérieur,Illustration,Été,Dégagé,Matin,Direct,,École,Suisse,Nightnurse_PersoneniRaffaele_SchoolRuetti_Gstaad_2019_01.jpg
891,Personeni Raffaele_School Ruetti_Gstaad,Nightnurse,2019,Extérieur,Illustration,Été,Dégagé,Matin,Direct,,École,Suisse,Nightnurse_PersoneniRaffaele_SchoolRuetti_Gstaad_2019_02.jpg
892,Personeni Raffaele_School Ruetti_Gstaad,Nightnurse,2019,Intérieur,Illustration,,,,Direct,,École,Suisse,Nightnurse_PersoneniRaffaele_SchoolRuetti_Gstaad_2019_03.jpg
893,Personeni Raffaele_Schwimmbad_Carouge,Nightnurse,2018,Intérieur,Réaliste,,,,Diffuse,,Public,Suisse,Nightnurse_PersoneniRaffaele_Schwimmbad_Carouge_2018_01.jpg
894,Personeni Raffaele_Schwimmbad_Carouge,Nightnurse,2018,Intérieur,Réaliste,,,,Diffuse,,Public,Suisse,Nightnurse_PersoneniRaffaele_Schwimmbad_Carouge_2018_02.jpg
895,Peter Kunz_Ueberbauung Vogelsang_Winterthur,Nightnurse,2014,Extérieur,Illustration,Été,Dégagé,Milieu journée,Direct,,Logement,Suisse,Nightnurse_Peter_Kunz_UeberbauungVogelsang_Winterthur_2014.jpg
896,Peter Kunz_Garage_Herdernd,Nightnurse,2015,Extérieur,Réaliste,Hiver,Nuageux,Milieu journée,Diffuse,,Public,Suisse,Nightnurse_PeterKunz_Garage_Herdernd.jpg
897,Peter Kunz_Langgasse_Winterthur,Nightnurse,,Intérieur,Maquette,,,,Artificielle,,Logement,Suisse,Nightnurse_PeterKunz_Langgasse_Winterthur_2015.jpg
898,Peter Moor_Guggenheim_Helsinki,Nightnurse,,Intérieur,Illustration,,,,Diffuse,,Culture,,Nightnurse_PeterMoor_Guggenheim_Helsinki_01.jpg
899,Peter Moor_Guggenheim_Helsinki,Nightnurse,,Extérieur,Illustration,,Dégagé,,Direct,,Culture,,Nightnurse_PeterMoor_Guggenheim_Helsinki_02.jpg
900,Peter Moor_Guggenheim_Helsinki,Nightnurse,,Extérieur,Illustration,,Nuageux,Soir,Spot,,Culture,,Nightnurse_PeterMoor_Guggenheim_Helsinki_03.jpg
901,Peter Moor_Guggenheim_Helsinki,Nightnurse,,Intérieur,Illustration,,,,Diffuse,,Culture,,Nightnurse_PeterMoor_Guggenheim_Helsinki_04.jpg
902,Peter Moor_Hallenbad_Appenzell,Nightnurse,2018,Extérieur,Illustration,Hiver,Nuageux,,Diffuse,,Public,Suisse,Nightnurse_PeterMoor_Hallenbad_Appenzell_2018_01.jpg
903,Peter Moor_Hallenbad_Appenzell,Nightnurse,2018,Intérieur,Illustration,,,,Direct,,Public,Suisse,Nightnurse_PeterMoor_Hallenbad_Appenzell_2018_02.jpg
904,Peter Moor_Schulanlage Kleinholz_Olten,Nightnurse,2019,Intérieur,Illustration,,,,Direct,,École,Suisse,Nightnurse_PeterMoor_SchulanlageKleinholz_Olten_2019_01.jpg
905,Peter Moor_Schulanlage Kleinholz_Olten,Nightnurse,2019,Extérieur,Illustration,,Dégagé,Matin,Direct,Central,École,Suisse,Nightnurse_PeterMoor_SchulanlageKleinholz_Olten_2019_02.jpg
906,Peter Moor_Schulanlage Kleinholz_Olten,Nightnurse,2019,Intérieur,Illustration,,,,Artificielle,,École,Suisse,Nightnurse_PeterMoor_SchulanlageKleinholz_Olten_2019_03.jpg
907,Peter Moor_Schulhaus_Herrenmatte_Einsiedeln,Nightnurse,2012,Extérieur,Illustration,,Dégagé,,Diffuse,,École,Suisse,Nightnurse_PeterMoor_Schulhaus_Herrenmatte_Einsiedeln_2012.jpg
908,Philip Loskant_Hotel Furtschellas_Sils,Nightnurse,2018,Extérieur,Réaliste,,Dégagé,Matin,Diffuse,Central,Commercial,Suisse,Nightnurse_PhilipLoskant_HotelFurtschellas_Sils_2018_01.jpg
909,Philip Loskant_Hotel Furtschellas_Sils,Nightnurse,2018,Extérieur,Réaliste,,Dégagé,Matin,Diffuse,Central,Commercial,Suisse,Nightnurse_PhilipLoskant_HotelFurtschellas_Sils_2018_02.jpg
910,Philip Loskant_Hotel Furtschellas_Sils,Nightnurse,2018,Intérieur,Illustration,,,,Artificielle,,Commercial,Suisse,Nightnurse_PhilipLoskant_HotelFurtschellas_Sils_2018_03.jpg
911,Pool_Alterszentrum Langgruet_Zurich,Nightnurse,2019,Extérieur,Illustration,Printemps,Dégagé,,Diffuse,,EMS,Suisse,Nightnurse_Pool_AlterszentrumLanggruet_Zurich_2019_01.jpg
912,Pool_Forum UZH_Zurich,Nightnurse,2019,Intérieur,Illustration,,,Matin,Direct,,Commercial,Suisse,Nightnurse_Pool_ForumUZH_Zurich_2019_01.jpg
913,Pool_Forum UZH_Zurich,Nightnurse,2019,Extérieur,Illustration,,Dégagé,Matin,Direct,,Commercial,Suisse,Nightnurse_Pool_ForumUZH_Zurich_2019_02.jpg
914,Pool_Forum UZH_Zurich,Nightnurse,2019,Intérieur,Illustration,,,,Direct,,Commercial,Suisse,Nightnurse_Pool_ForumUZH_Zurich_2019_03.jpg
915,Pool_Glattbogen_Schwamendingen_Zurich,Nightnurse,2016,Intérieur,Réaliste,,,,Direct,,Logement,Suisse,Nightnurse_Pool_Glattbogen_Schwamendingen_Zurich_2016_01.jpg
916,Pool_Glattbogen_Schwamendingen_Zurich,Nightnurse,2016,Intérieur,Réaliste,,,,Direct,,Logement,Suisse,Nightnurse_Pool_Glattbogen_Schwamendingen_Zurich_2016_02.jpg
917,Pool_Glattbogen_Schwamendingen_Zurich,Nightnurse,2016,Intérieur,Réaliste,,,,Direct,,Logement,Suisse,Nightnurse_Pool_Glattbogen_Schwamendingen_Zurich_2016_03.jpg
918,Pool_Guggach Areal_III_Zurich_Oerlikon,Nightnurse,2018,Extérieur,Illustration,Printemps,Dégagé,,Direct,,Logement,Suisse,Nightnurse_Pool_GuggachAreal_III_Zurich_Oerlikon_2018_01.jpg
919,Pool_Guggach Areal_III_Zurich_Oerlikon,Nightnurse,2018,Extérieur,Illustration,Printemps,Dégagé,,Direct,,Logement,Suisse,Nightnurse_Pool_GuggachAreal_III_Zurich_Oerlikon_2018_02.jpg
920,Pool_Guggach Areal_III_Zurich_Oerlikon,Nightnurse,2018,Intérieur,Illustration,,,,Diffuse,,École,Suisse,Nightnurse_Pool_GuggachAreal_III_Zurich_Oerlikon_2018_03.jpg
921,Pool_Koch Areal_Teilperimeter C_Zurich,Nightnurse,2018,Extérieur,Illustration,Été,Dégagé,Matin,Direct,,Commercial,Suisse,Nightnurse_Pool_KochAreal_TeilperimeterC_Zurich_2018_01.jpg
922,Pool_Koch Areal_Teilperimeter C_Zurich,Nightnurse,2018,Intérieur,Illustration,,,,Direct,,Commercial,Suisse,Nightnurse_Pool_KochAreal_TeilperimeterC_Zurich_2018_02.jpg
923,Pool_Muehlerain_Meilen,Nightnurse,2019,Intérieur,Illustration,,,,Diffuse,,Logement,Suisse,Nightnurse_Pool_Muehlerain_Meilen_2019_01.jpg
924,Pool_Muehlerain_Meilen,Nightnurse,2019,Intérieur,Illustration,,,Soir,Artificielle,,Logement,Suisse,Nightnurse_Pool_Muehlerain_Meilen_2019_02.jpg
925,Pool_RBS_Depotneubau_Baetterkinden,Nightnurse,2019,Extérieur,Réaliste,,Dégagé,Matin,Diffuse,,Public,Suisse,Nightnurse_Pool_RBS_Depotneubau_Baetterkinden_2019_01.jpg
926,Pool_RBS_Depotneubau_Baetterkinden,Nightnurse,2019,Intérieur,Illustration,,,,Diffuse,,Public,Suisse,Nightnurse_Pool_RBS_Depotneubau_Baetterkinden_2019_02.jpg
927,Quatre Architecture Territoire_Renens_Lausanne,Nightnurse,2019,Extérieur,Illustration,Été,Dégagé,Soir,Diffuse,,Logement,Suisse,Nightnurse_QuatreArchitectureTerritoire_Renens_Lausanne_2019_01.jpg
928,Quatre Architecture Territoire_Renens_Lausanne,Nightnurse,2019,Intérieur,Illustration,,,,Diffuse,,Logement,Suisse,Nightnurse_QuatreArchitectureTerritoire_Renens_Lausanne_2019_02.jpg
929,Quatre Architecture Territoire_Renens_Lausanne,Nightnurse,2019,Extérieur,Illustration,Été,Dégagé,Soir,Diffuse,,Logement,Suisse,Nightnurse_QuatreArchitectureTerritoire_Renens_Lausanne_2019_03.jpg
930,Romain Ecorchard_Natural History Museum_Fribourg,Nightnurse,2018,Extérieur,Illustration,Automne,Nuageux,Soir,Diffuse,,Culture,Suisse,Nightnurse_RomainEcorchard_NaturalHistoryMuseum_Fribourg_2018_01.jpg
931,Romain Ecorchard_Natural History Museum_Fribourg,Nightnurse,2018,Intérieur,Illustration,,,,Diffuse,Central,Culture,Suisse,Nightnurse_RomainEcorchard_NaturalHistoryMuseum_Fribourg_2018_02.jpg
932,Romain Ecorchard_Ecole_Arziers-le-Muids,Nightnurse,2015,Extérieur,Illustration,Été,Dégagé,,Direct,,École,,Nightnurse_RomainEcorchard_Schule_Arziers_le_Muids_2015_01.jpg
933,Romain Ecorchard_Ecole_Arziers-le-Muids,Nightnurse,2015,Intérieur,Illustration,,,,Diffuse,,École,,Nightnurse_RomainEcorchard_Schule_Arziers_le_Muids_2015_02.jpg
934,Roos_Schulhaus_Ruemlang,Nightnurse,2019,Extérieur,Illustration,Été,Dégagé,Matin,Diffuse,,École,Suisse,Nightnurse_Roos_Schulhaus_Ruemlang_2019.jpg
935,Ruffieux Chehab_School Marly_Fribourg,Nightnurse,2019,Intérieur,Illustration,,,,Direct,,École,Suisse,Nightnurse_RuffieuxChehab_SchoolMarly_Fribourg_2019.jpg
936,Sacker_SC Stadion_Freiburg,Nightnurse,2017,Extérieur,Réaliste,Hiver,Nuageux,Soir,Spot,Drone,Public,Suisse,Nightnurse_Sacker_SCStadion_Freiburg_2017.jpg
937,Schaub Zwicky_Tagesbetreuung_Hebel_St Gallen,Nightnurse,2019,Extérieur,Illustration,Printemps,Nuageux,Matin,Diffuse,Frontal,École,Suisse,Nightnurse_SchaubZwicky_Tagesbetreuung_Hebel_StGallen_2019_01.jpg
938,Schaub Zwicky_Tagesbetreuung_Hebel_St Gallen,Nightnurse,2019,Intérieur,Illustration,,,,Diffuse,,École,Suisse,Nightnurse_SchaubZwicky_Tagesbetreuung_Hebel_StGallen_2019_02.jpg
939,Schmid Schaerer_Rafaelschule_Zuerich,Nightnurse,,Intérieur,Peinture,,,,Direct,,École,Suisse,Nightnurse_SchmidSchaerer_Rafaelschule_Zuerich_01.jpg
940,Schmid Schaerer_Rafaelschule_Zuerich,Nightnurse,,Extérieur,Peinture,Été,Dégagé,,Direct,,École,Suisse,Nightnurse_SchmidSchaerer_Rafaelschule_Zuerich_02.jpg
941,Senn_Hochparterre_Projekt Sennhaeuser_Birmensdorf,Nightnurse,2017,Intérieur,Illustration,,,,Artificielle,Frontal,Logement,Suisse,Nightnurse_Senn_Hochparterre_ProjektSennhaeuser_Birmensdorf_2017.jpg
942,Smarch Mathys Stucheli_Fassade_Biomassenanlage_Bern,Nightnurse,,Extérieur,Réaliste,Hiver,Dégagé,Milieu journée,Diffuse,frontal,Public,Suisse,Nightnurse_smarch_MathysStucheli_Fassade_Biomassenanlage1.jpg
943,Smarch Mathys Stuecheli_Grosshofbruecke_Kriens,Nightnurse,2017,Extérieur,Illustration,Été,Dégagé,Milieu journée,Diffuse,Drone,Commercial,Suisse,Nightnurse_SmarchMathysStuecheli_Grosshofbruecke_Kriens_2017_01.jpg
944,Smarch Mathys Stuecheli_Grosshofbruecke_Kriens,Nightnurse,2017,Extérieur,Illustration,,,,Diffuse,,Commercial,Suisse,Nightnurse_SmarchMathysStuecheli_Grosshofbruecke_Kriens_2017_02.jpg
945,Sollberge Boegli_Schule_Preles,Nightnurse,2018,Extérieur,Illustration,Automne,Nuageux,Matin,Spot,,École,Suisse,Nightnurse_Sollbergeboegli_Schule_Preles_2018_01.jpg
946,Sollberge Boegli_Schule_Preles,Nightnurse,2018,Intérieur,Illustration,,,,Direct,,École,Suisse,Nightnurse_Sollbergeboegli_Schule_Preles_2018_02.jpg
947,Sollberger Boegli_Umbau_Raifeisen_Bank_Kirchberg,Nightnurse,2013,Intérieur,Réaliste,,,,Diffuse,,Commercial,Suisse,Nightnurse_SollbergerBoegli_Umbau_Raifeisen_Bank_Kirchberg_2013.jpg
948,SPPA_Rigigasse_Kussnacht am Rigi,Nightnurse,2018,Extérieur,Illustration,,Nuageux,,Diffuse,,Logement,Suisse,Nightnurse_SPPA_Rigigasse_Kussnacht_am_Rigi_2018_01.jpg
949,SPPA_Rigigasse_Kussnacht am Rigi,Nightnurse,2018,Extérieur,Illustration,Été,Dégagé,,Direct,,Logement,Suisse,Nightnurse_SPPA_Rigigasse_Kussnacht_am_Rigi_2018_02.jpg
950,SPPA_Rigigasse_Kussnacht am Rigi,Nightnurse,2018,Extérieur,Illustration,Été,Dégagé,Soir,Artificielle,,Logement,Suisse,Nightnurse_SPPA_Rigigasse_Kussnacht_am_Rigi_2018_03.jpg
951,SSP_Cube3_Aachen,Nightnurse,2018,Extérieur,Illustration,Automne,Dégagé,,Direct,,École,,Nightnurse_SSP_Cube3_Aachen_2018.jpg
952,Steib Geschwentner_Tiny_House_Zollikerberg,Nightnurse,2018,Extérieur,Illustration,,Dégagé,,Direct,,Logement,Suisse,Nightnurse_SteibGeschwentner_Tiny_House_Zollikerberg_2018_01.jpg
953,Steib Geschwentner_Tiny_House_Zollikerberg,Nightnurse,2018,Extérieur,Illustration,Automne,Pluvieux,Soir,Diffuse,,Logement,Suisse,Nightnurse_SteibGeschwentner_Tiny_House_Zollikerberg_2018_02.jpg
954,Stuecheli_Wohnprojekt Mobimo_Duebendorf,Nightnurse,2017,Extérieur,Illustration,Automne,,Milieu journée,Diffuse,frontal,Logement,Suisse,Nightnurse_Stuecheli_WohnprojektMobimo_Duebendorf_2017.jpg
955,Swiss Property_Turmfalken_Andermatt,Nightnurse,2019,Intérieur,Illustration,,,,Direct,,Logement,Suisse,Nightnurse_SwissProperty_Turmfalken_Andermatt_2019_01.jpg
956,Swiss Property_Turmfalken_Andermatt,Nightnurse,2019,Extérieur,Illustration,Hiver,Dégagé,Milieu journée,Direct,Central,Logement,Suisse,Nightnurse_SwissProperty_Turmfalken_Andermatt_2019_02.jpg
957,Swiss Property_Turmfalken_Andermatt,Nightnurse,2019,Intérieur,Illustration,,,,Artificielle,,Logement,Suisse,Nightnurse_SwissProperty_Turmfalken_Andermatt_2019_03.jpg
958,Swiss Property_Turmfalken_Andermatt,Nightnurse,2019,Intérieur,Illustration,,,,Artificielle,,Logement,Suisse,Nightnurse_SwissProperty_Turmfalken_Andermatt_2019_04.jpg
959,Swiss Property_Turmfalken_Andermatt,Nightnurse,2019,Intérieur,Illustration,,,,Artificielle,,Logement,Suisse,Nightnurse_SwissProperty_Turmfalken_Andermatt_2019_05.jpg
960,Swiss Property_Turmfalken_Andermatt,Nightnurse,2019,Extérieur,Illustration,Hiver,Dégagé,Milieu journée,Direct,,Logement,Suisse,Nightnurse_SwissProperty_Turmfalken_Andermatt_2019_06.jpg
961,Swiss Property_Turmfalken_Andermatt,Nightnurse,2019,Intérieur,Illustration,,,,Artificielle,,Logement,Suisse,Nightnurse_SwissProperty_Turmfalken_Andermatt_2019_07.jpg
962,Tertianum_Wohn_Pflegezentrum_Bazenheid,Nightnurse,2019,Extérieur,Illustration,Printemps,Dégagé,Milieu journée,Direct,,Public,Suisse,Nightnurse_Tertianum_Wohn_Pflegezentrum_Bazenheid_2019_01.jpg
963,Tertianum_Wohn_Pflegezentrum_Bazenheid,Nightnurse,2019,Intérieur,Illustration,,,,Direct,,Public,Suisse,Nightnurse_Tertianum_Wohn_Pflegezentrum_Bazenheid_2019_02.jpg
964,Tertianum_Wohn_Pflegezentrum_Bazenheid,Nightnurse,2019,Extérieur,Illustration,Printemps,Dégagé,Milieu journée,Diffuse,,Public,Suisse,Nightnurse_Tertianum_Wohn_Pflegezentrum_Bazenheid_2019_03.jpg
965,Tertianum_Wohn_Pflegezentrum_Bazenheid,Nightnurse,2019,Intérieur,Illustration,,,,Direct,,Public,Suisse,Nightnurse_Tertianum_Wohn_Pflegezentrum_Bazenheid_2019_04.jpg
966,Tertianum_Wohn_Pflegezentrum_Bazenheid,Nightnurse,2019,Intérieur,Illustration,,,,Direct,,Public,Suisse,Nightnurse_Tertianum_Wohn_Pflegezentrum_Bazenheid_2019_05.jpg
967,Tertianum_Wohn_Pflegezentrum_Bazenheid,Nightnurse,2019,Intérieur,Illustration,,,,Direct,,Public,Suisse,Nightnurse_Tertianum_Wohn_Pflegezentrum_Bazenheid_2019_06.jpg
968,Tertianum_Wohn_Pflegezentrum_Bazenheid,Nightnurse,2019,Intérieur,Illustration,,,,Direct,,Public,Suisse,Nightnurse_Tertianum_Wohn_Pflegezentrum_Bazenheid_2019_07.jpg
969,Tertianum_Wohn_Pflegezentrum_Bazenheid,Nightnurse,2019,Intérieur,Illustration,,,,Direct,,Public,Suisse,Nightnurse_Tertianum_Wohn_Pflegezentrum_Bazenheid_2019_08.jpg
970,Theo Hotz Partner_Bahnhof Stadelhofen_Zurich,Nightnurse,,Extérieur,Illustration,Automne,Dégagé,Milieu journée,Diffuse,,Public,Suisse,Nightnurse_TheoHotzPartner_BahnhofStadelhofen_Zurich_01.jpg
971,Theo Hotz Partner_Bahnhof Stadelhofen_Zurich,Nightnurse,,Extérieur,Illustration,Automne,Dégagé,Milieu journée,Diffuse,frontal,Public,Suisse,Nightnurse_TheoHotzPartner_BahnhofStadelhofen_Zurich_02.jpg
972,Theo Hotz Partner_Bahnhof Stadelhofen_Zurich,Nightnurse,,Intérieur,Illustration,,,,Artificielle,,Public,Suisse,Nightnurse_TheoHotzPartner_BahnhofStadelhofen_Zurich_03.jpg
973,Theo Hotz Partner_Bahnhof Stadelhofen_Zurich,Nightnurse,,Intérieur,Illustration,,,,Direct,Central,Public,Suisse,Nightnurse_TheoHotzPartner_BahnhofStadelhofen_Zurich_04.jpg
974,Theo Hotz Partner_Bernexpo9,Nightnurse,2019,Intérieur,Illustration,,,,Diffuse,,Public,Suisse,Nightnurse_TheoHotzPartner_Bernexpo9_2019.jpg
975,Toblergmuer_KochAreal_Zurich,Nightnurse,2018,Extérieur,Illustration,Été,Dégagé,Milieu journée,Direct,,Logement,Suisse,Nightnurse_Toblergmuer_KochAreal_Zurich_2018_01.jpg
976,Toblergmuer_KochAreal_Zurich,Nightnurse,2018,Extérieur,Illustration,,,Milieu journée,Diffuse,,Logement,Suisse,Nightnurse_Toblergmuer_KochAreal_Zurich_2018_02.jpg
977,Toblergmuer_KochAreal_Zurich,Nightnurse,2018,Intérieur,Illustration,,,,Direct,,Logement,Suisse,Nightnurse_Toblergmuer_KochAreal_Zurich_2018_03.jpg
978,Toblergmur_Bundesplatz Sud_Luzern,Nightnurse,2016,Extérieur,Illustration,,Dégagé,Matin,Diffuse,,Logement,Suisse,Nightnurse_Toblergmur_BundesplatzSud_Luzern_2016_01.jpg
979,Toblergmur_Bundesplatz Sud_Luzern,Nightnurse,2016,Extérieur,Illustration,,Dégagé,Soir,Direct,,Logement,Suisse,Nightnurse_Toblergmur_BundesplatzSud_Luzern_2016_02.jpg
980,Toblergmur_Bundesplatz Sud_Luzern,Nightnurse,2016,Extérieur,Illustration,,Dégagé,Soir,Diffuse,,Logement,Suisse,Nightnurse_Toblergmur_BundesplatzSud_Luzern_2016_03.jpg
